"order_id","customer_id","order_date","order_amount","delivery_city","payment_mode"
111,11,"2022-09-21",3000,"Bhopal","Credit Card"
112,12,"2023-02-28",2400,"Patna","Net Banking"
113,13,"2023-03-12",2600,"Thane","Debit Card"
114,14,"2022-07-05",1800,"Gurgaon","UPI"
115,15,"2023-04-18",2300,"Nagpur","Credit Card"
116,16,"2021-06-23",1600,"Surat","Net Banking"
117,17,"2023-02-01",2900,"Kanpur","Cash"
118,18,"2022-12-17",2100,"Coimbatore","Debit Card"
119,19,"2022-08-25",1200,"Indore","UPI"
120,20,"2023-01-09",4000,"Vadodara","Credit Card"
